url,title,description,languages,assessment_length,test_type,remote_available,job_levels
https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Account Manager Solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","English (USA),",49 minutes,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement",Yes,"Professional, Manager, Executive"
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","English (USA),",36 minutes,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","English (USA),",51 minutes,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Apprentice + 8.0 Job Focused Assessment,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","English International, German,",30 minutes,"Biodata & Situational Judgement, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Apprentice 8.0 Job Focused Assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","English International, German, French,",20 minutes,"Biodata & Situational Judgement, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","English (USA),",35 minutes,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","English (USA),",45 minutes,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","English (USA),",45 minutes,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","English (USA), Latin American Spanish,",43 minutes,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","English (USA),",49 minutes,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","English (USA),",50 minutes,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Cashier Solution,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","English (USA),",28 minutes,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Global Skills Development Report,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",N/A,N/A,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior",Yes,"Entry, Professional, Manager, Executive, Director"
https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,.NET Framework 4.5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","English (USA),",30 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,.NET MVC (New),"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","English (USA),",17 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,.NET MVVM (New),"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","English (USA),",5 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,.NET WCF (New),"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","English (USA),",11 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,.NET WPF (New),"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","English (USA),",9 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","English (USA),",5 minutes,Knowledge & Skills,Yes,"Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","English (USA),",9 minutes,Knowledge & Skills,Yes,"Entry, Professional, Manager"
https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New),Simulated data entry test that measures the ability to process payables and vendor invoices.,"English (USA),",8 minutes,Simulations,Yes,"Entry, Professional, Manager"
